No.;Ticker;Company;Sector;Industry;Country;Market Cap;P/E;P/B;P/Free Cash Flow;EPS growth this year;EPS growth past 5 years;EPS growth quarter over quarter;Sales growth quarter over quarter;Shares Float;Insider Ownership;Return on Equity;Total Debt/Equity;Gross Margin;Profit Margin
124;DFS;Discover Financial Services;Financial;Credit Services;USA;13260;12.15;2.48;8.33;-1.20;32.10;-2.30;5.20;438.55;1.20;20.80;2.15;-;28.90
125;DG;Dollar General Corporation;Services;Discount, Variety Stores;USA;39230;21.80;4.40;24.58;10.10;27.40;16.70;8.80;296.75;0.10;20.40;0.50;30.80;5.70
126;DGX;Quest Diagnostics Inc.;Healthcare;Medical Laboratories & Research;USA;46100;20.99;2.47;25.03;-28.50;-0.50;-40.80;5.30;142.76;0.40;12.20;1.12;37.90;6.80
127;DHI;DR Horton Inc.;Industrial Goods;Residential Construction;USA;21100;17.97;1.88;-;15.00;23.20;5.30;38.20;327.60;10.68;11.00;0.73;20.80;6.10
128;DHR;Danaher Corp.;Industrial Goods;Diversified Machinery;USA;44600;23.66;2.59;20.81;-4.20;17.40;-2.50;4.50;619.96;1.50;11.00;0.14;52.60;12.90
129;DIS;The Walt Disney Company;Services;Entertainment - Diversified;USA;191940;24.61;4.22;38.77;26.00;19.30;13.90;7.00;5610;0.10;17.80;0.32;34.30;15.80
130;DISCA;Discovery Communications, Inc.;Services;CATV Systems;USA;91130;19.53;2.79;13.72;11.40;5.20;12.10;8.90;405.42;1.20;16.20;1.42;65.50;14.50
131;DISCK;Discovery Communications, Inc.;Services;CATV Systems;USA;9980;18.62;3.92;-;4.80;0.00;8.70;8.90;-;10.22;-;-;-;-
132;DLPH;Delphi Automotive PLC;Consumer Goods;Auto Parts;United Kingdom;62250;20.08;11.98;24.61;15.20;-30.90;-2.00;-2.60;287.35;0.80;46.40;1.26;19.00;7.50
133;DLTR;Dollar Tree, Inc.;Services;Discount, Variety Stores;USA;59160;31.31;8.87;30.85;6.30;19.40;-49.30;8.80;197.98;2.10;31.70;4.18;35.20;6.00
134;DNB;Dun & Bradstreet Corp.;Technology;Information & Delivery Services;USA;5740;18.55;-;23.58;22.00;5.90;-50.00;-1.50;35.94;0.40;-21.80;-;66.40;14.90
135;DNR;Denbury Resources Inc.;Basic Materials;Independent Oil & Gas;USA;3420;4.90;0.41;93.66;63.10;51.70;-282.40;-52.10;350.24;0.80;8.60;0.65;99.00;22.30
136;DO;Diamond Offshore Drilling, Inc.;Basic Materials;Oil & Gas Drilling & Exploration;USA;6030;-;0.86;-;-28.90;-22.20;-277.10;-12.60;137.09;53.20;-0.30;0.54;41.70;-0.50
137;DOV;Dover Corporation;Industrial Goods;Diversified Machinery;USA;38110;16.20;3.21;16.43;0.20;18.20;-27.30;-4.80;159.02;0.40;31.50;0.79;38.10;15.50
138;DOW;The Dow Chemical Company;Basic Materials;Chemicals - Major Diversified;USA;36610;16.74;3.31;48.50;-16.10;68.70;40.50;-14.50;1510;0.20;18.90;1.09;19.30;6.80
139;DPS;Dr Pepper Snapple Group, Inc.;Consumer Goods;Beverages - Soft Drinks;USA;32140;20.81;6.49;27.59;16.70;10.40;3.80;3.80;191.10;0.30;30.80;1.18;58.90;11.40
140;DRI;Darden Restaurants, Inc.;Services;Restaurants;USA;9680;71.95;3.97;-;-23.30;-12.20;55.40;6.90;124.77;0.10;41.30;0.68;20.30;13.60
141;DTE;DTE Energy Company;Utilities;Electric Utilities;USA;25130;15.39;1.52;-;35.20;9.50;-16.80;-24.10;177.56;0.30;10.30;1.04;25.90;7.50
142;DTV;DIRECTV;Services;CATV Systems;USA;28470;16.28;-;14.85;4.40;41.60;32.10;3.70;501.63;0.10;-52.40;-;46.60;8.70
143;DUK;Duke Energy Corporation;Utilities;Electric Utilities;USA;88480;20.14;1.22;-;-4.70;7.20;2.80;-3.20;674.59;0.10;6.70;1.07;66.80;11.60
144;DVA;DaVita HealthCare Partners Inc.;Healthcare;Specialized Health Services;USA;40170;41.07;3.47;21.36;15.20;10.40;-161.20;8.10;209.40;0.20;8.60;1.71;28.70;3.30
145;DVN;Devon Energy Corporation;Basic Materials;Independent Oil & Gas;USA;82240;-;1.36;-;-61.10;21.30;-;-12.30;387.08;0.60;-9.70;0.65;87.80;-10.50
146;EA;Electronic Arts Inc.;Technology;Multimedia & Graphics Software;USA;22210;25.17;6.89;21.83;12.70;26.90;11.20;5.50;312.01;0.60;31.50;0.21;68.30;19.40
147;EBAY;eBay Inc.;Services;Specialty Retail, Other;USA;83740;25.88;3.83;17.54;-98.20;-53.40;128.00;4.40;1210;8.10;15.30;0.39;67.80;16.60
148;ECL;Ecolab Inc.;Consumer Goods;Cleaning Products;USA;53340;28.42;5.03;64.08;0.00;17.70;24.20;-1.20;296.45;0.40;17.00;1.05;46.60;8.70
149;ED;Consolidated Edison, Inc.;Utilities;Electric Utilities;USA;84160;15.37;1.32;-;2.80;3.40;2.40;-4.60;292.28;0.20;8.70;1.00;68.50;8.60
150;EFX;Equifax Inc.;Financial;Credit Services;USA;86110;32.88;5.54;27.41;10.00;11.80;9.00;11.50;118.03;0.80;16.40;0.71;65.90;14.90
151;EIX;Edison International;Utilities;Electric Utilities;USA;25180;12.04;1.65;-;62.50;10.80;51.70;-14.10;325.08;0.19;16.10;1.14;59.20;13.30
152;EL;The Estee Lauder Companies Inc.;Consumer Goods;Personal Products;USA;83320;28.17;8.51;33.94;18.60;41.00;31.50;1.20;226.99;1.00;31.20;0.38;80.50;10.90
153;EMC;EMC Corporation;Technology;Data Storage Devices;USA;51520;21.46;2.61;13.35;-1.50;20.00;-31.60;2.40;9310;0.50;13.60;0.27;62.00;12.10
154;EMN;Eastman Chemical Co.;Basic Materials;Chemicals - Major Diversified;USA;36120;18.23;3.59;17.31;-33.30;36.40;-25.00;6.00;147.68;0.40;18.70;2.22;23.60;7.10
155;EMR;Emerson Electric Co.;Industrial Goods;Industrial Electrical Equipment;USA;84370;14.90;4.32;27.52;10.10;6.20;82.10;-7.10;663.68;0.30;26.80;0.74;41.30;10.90
156;ENDP;Endo International plc;Healthcare;Drug Manufacturers - Other;Ireland;82160;-;3.37;40.72;-4.70;-33.10;322.50;51.70;200.92;0.50;-12.20;1.34;48.80;-12.00
157;EOG;EOG Resources, Inc.;Basic Materials;Independent Oil & Gas;USA;11480;23.13;2.73;-;32.30;37.30;-125.60;-43.10;545.69;0.40;12.00;0.39;59.90;13.20
158;EQR;Equity Residential;Financial;REIT - Residential;USA;72250;35.68;2.49;-;466.00;54.80;123.80;5.20;357.59;0.70;7.10;1.06;66.50;27.50
159;EQT;EQT Corporation;Basic Materials;Independent Oil & Gas;USA;65120;34.46;2.62;-;28.40;16.30;-9.50;7.10;151.38;0.50;8.10;0.68;86.10;14.60
160;ES;Eversource Energy;Utilities;Diversified Utilities;USA;46140;17.30;1.43;-;3.60;6.20;8.10;9.70;314.97;0.40;10.80;0.97;25.40;13.50
161;ESRX;Express Scripts Holding Company;Healthcare;Health Care Plans;USA;50660;32.11;3.22;16.59;14.30;11.20;42.90;5.10;727.56;0.20;10.40;0.60;8.20;2.10
162;ESS;Essex Property Trust Inc.;Financial;REIT - Residential;USA;94130;96.08;2.24;-;-35.60;-3.10;58.60;75.70;64.55;0.10;3.00;0.89;68.30;16.20
163;ESV;Ensco plc;Basic Materials;Oil & Gas Drilling & Exploration;United Kingdom;1050;-;0.59;-;-292.30;-33.40;10.30;9.10;233.15;0.50;-44.50;0.72;55.50;-95.90
164;ETFC;E*TRADE Financial Corporation;Financial;Investment Brokerage - National;USA;9280;38.44;1.63;40.89;244.80;15.80;-57.60;-4.00;289.36;0.50;4.40;5.25;95.00;13.10
165;ETN;Eaton Corporation plc;Industrial Goods;Diversified Machinery;Ireland;02320;17.85;2.11;87.71;-3.60;27.00;7.60;-4.90;464.90;0.20;11.30;0.61;31.00;8.20
166;ETR;Entergy Corporation;Utilities;Electric Utilities;USA;47120;14.97;1.23;26.20;30.80;-3.70;-26.30;-9.00;179.23;0.20;8.30;1.39;84.00;6.90
167;EW;Edwards Lifesciences Corp.;Healthcare;Medical Appliances & Equipment;USA;55150;17.90;7.04;18.16;118.70;30.80;100.00;13.00;106.72;0.70;41.80;0.27;74.20;36.60
168;EXC;Exelon Corporation;Utilities;Diversified Utilities;USA;59270;12.41;1.20;-;-6.00;-14.40;700.00;22.00;860.56;0.10;10.10;0.99;54.70;8.00
169;EXPD;Expeditors International of Washington Inc.;Services;Air Delivery & Freight Services;USA;9680;22.75;4.67;46.49;14.30;11.60;31.00;12.50;189.39;0.80;21.10;0.00;30.30;5.90
170;EXPE;Expedia Inc.;Services;Lodging;USA;94130;31.67;8.38;13.91;79.00;15.40;409.10;14.40;98.08;5.00;25.30;1.05;79.70;7.70
171;F;Ford Motor Co.;Consumer Goods;Auto Manufacturers - Major;USA;38610;19.79;2.45;12.52;-54.80;-1.40;-4.20;-5.50;8930;0.10;12.20;4.92;12.80;2.20
172;FAST;Fastenal Company;Services;Industrial Equipment Wholesale;USA;56120;24.85;6.77;416.02;9.90;21.80;13.20;8.80;280.32;0.10;27.00;0.07;50.70;13.40
173;FB;Facebook, Inc.;Technology;Internet Information Providers;USA;072470;87.98;5.26;63.32;83.30;78.90;-28.00;41.60;1120;0.40;14.90;0.00;82.60;31.30
174;FCX;Freeport-McMoRan Inc.;Basic Materials;Copper;USA;53200;-;1.30;-;-147.70;-19.40;-585.70;-16.70;0210;0.90;-22.30;1.29;6.10;-20.80
175;FDO;Family Dollar Stores Inc.;Services;Discount, Variety Stores;USA;0890;38.67;5.12;-;-35.00;3.80;-16.30;3.00;108.83;0.70;13.80;0.33;33.60;2.20
176;FDX;FedEx Corporation;Services;Air Delivery & Freight Services;USA;03490;19.82;3.05;49.28;37.20;85.20;64.20;3.70;263.43;5.60;16.30;0.45;63.30;5.40
177;FE;FirstEnergy Corp.;Utilities;Electric Utilities;USA;87130;44.41;1.12;-;-42.70;-29.10;79.30;-6.80;421.06;0.20;2.50;1.82;70.40;2.10
178;FFIV;F5 Networks, Inc.;Technology;Business Software & Services;USA;1090;26.93;6.92;15.23;16.90;29.10;29.70;12.40;71.73;0.30;25.60;0.00;82.40;18.90
179;FIS;Fidelity National Information Services, Inc.;Technology;Information Technology Services;USA;89170;28.06;2.81;34.98;43.10;40.90;-25.90;2.30;280.57;0.50;9.80;0.82;32.50;9.90
180;FISV;Fiserv, Inc.;Services;Business Services;USA;10200;27.65;6.30;19.18;22.10;14.40;12.30;3.30;232.21;0.40;22.70;1.20;43.50;15.00
181;FITB;Fifth Third Bancorp;Financial;Regional - Midwest Banks;USA;34170;12.30;1.19;10.76;-16.80;21.70;16.70;-2.30;802.13;0.30;12.30;0.97;-;43.60
182;FLIR;FLIR Systems, Inc.;Technology;Scientific & Technical Instruments;USA;3840;20.42;2.75;36.89;13.90;-0.80;61.90;-2.00;138.70;1.10;13.50;0.23;50.80;14.30
183;FLR;Fluor Corporation;Industrial Goods;Heavy Construction;USA;0180;12.04;2.63;261.81;10.30;3.60;4.30;-15.50;146.12;0.50;15.10;0.33;6.70;2.40
184;FLS;Flowserve Corp.;Industrial Goods;Diversified Machinery;USA;0870;16.45;4.06;24.39;10.30;8.20;-74.40;-5.00;133.91;0.40;29.00;0.96;34.60;11.30
185;FMC;FMC Corp.;Basic Materials;Chemicals - Major Diversified;USA;1170;29.56;4.95;-;-11.10;11.90;-168.10;-12.90;132.78;0.60;16.20;1.43;33.80;6.60
186;FOSL;Fossil Group, Inc.;Consumer Goods;Textile - Apparel Footwear & Accessories;USA;5330;10.81;4.18;12.37;8.20;28.00;-39.00;-6.60;42.05;0.40;36.60;0.74;56.60;10.10
187;FOXA;Twenty-First Century Fox, Inc.;Services;Entertainment - Diversified;USA;66670;7.72;3.87;26.42;-42.60;26.90;0.00;-16.80;6810;0.80;51.60;1.06;34.60;29.50
188;FSLR;First Solar, Inc.;Technology;Semiconductor - Specialized;USA;1450;23.27;1.03;16.09;5.70;-12.30;-156.40;-50.60;73.92;0.20;4.60;0.05;21.60;7.60
189;FTI;FMC Technologies, Inc.;Basic Materials;Oil & Gas Equipment & Services;USA;7590;13.98;4.00;15.80;40.50;15.40;10.50;-7.10;228.81;1.20;27.90;0.54;24.20;9.10
190;FTR;Frontier Communications Corporation;Technology;Telecom Services - Domestic;USA;8650;127.00;1.44;75.21;18.20;-19.30;-225.00;18.80;1510;0.40;1.10;2.75;60.80;0.80
191;GAS;AGL Resources Inc.;Utilities;Gas Utilities;USA;6250;13.32;1.42;-;92.20;10.30;-42.70;-30.10;119.24;0.50;17.60;1.05;50.50;14.50
192;GCI;Gannett Co., Inc.;Services;Publishing - Newspapers;USA;3780;7.66;2.54;17.75;175.90;25.20;96.00;4.90;226.15;0.10;36.20;1.32;50.90;18.40
193;GD;General Dynamics Corporation;Industrial Goods;Aerospace/Defense Products & Services;USA;38470;17.43;4.12;17.42;11.40;4.70;24.40;7.10;323.62;0.70;21.10;0.30;19.20;8.30
194;GE;General Electric Company;Industrial Goods;Diversified Machinery;USA;452720;245.82;2.51;41.82;2.70;8.80;-518.50;-12.50;07100;0.03;1.30;3.24;38.30;1.10
195;GGP;General Growth Properties, Inc;Financial;REIT - Retail;USA;09230;26.05;2.94;-;21.90;17.50;395.70;-4.60;885.18;1.40;17.20;1.78;69.30;51.10
196;GILD;Gilead Sciences Inc.;Healthcare;Biotechnology;USA;691760;13.66;10.41;10.75;306.10;39.10;107.50;51.90;4610;0.50;91.30;0.72;86.00;51.70
197;GIS;General Mills, Inc.;Consumer Goods;Processed & Packaged Goods;USA;67330;24.45;6.21;53.03;1.40;8.30;-12.50;-0.60;594.16;0.30;24.10;1.89;34.40;8.20
198;GLW;Corning Inc.;Technology;Diversified Electronics;USA;86250;11.54;1.37;14.55;29.10;6.20;45.00;-1.00;2510;0.10;14.30;0.17;41.80;28.50
199;GM;General Motors Company;Consumer Goods;Auto Manufacturers - Major;USA;77550;16.14;1.54;-;-30.30;-57.00;700.00;-4.50;3910;0.10;9.60;1.33;9.90;2.30
200;GMCR;Keurig Green Mountain, Inc.;Consumer Goods;Processed & Packaged Goods;USA;06120;21.81;4.62;-;18.40;52.70;-5.80;2.20;114.94;0.10;18.00;0.20;38.40;12.40
201;GME;GameStop Corp.;Services;Electronics Stores;USA;6640;12.06;2.27;14.70;16.10;9.10;15.30;3.20;104.61;1.70;19.20;0.17;29.80;4.30
202;GNW;Genworth Financial, Inc.;Financial;Life Insurance;USA;8730;-;0.25;1.29;-318.30;-17.50;-16.20;0.60;496.73;0.14;-8.30;0.44;-;-13.30
203;GOOG;Google Inc.;Technology;Internet Information Providers;USA;453640;25.29;3.37;-;10.80;0.00;3.90;11.90;579.50;0.19;-;-;-;-
204;GOOGL;Google Inc.;Technology;Internet Information Providers;USA;133740;27.69;3.50;28.30;2.90;14.70;-2.40;11.90;630.44;0.10;14.30;0.05;62.10;21.50
205;GPC;Genuine Parts Company;Services;Specialty Retail, Other;USA;94130;19.74;4.40;35.33;4.80;13.00;2.90;3.10;148.06;0.60;21.20;0.28;29.90;4.60
206;GPS;The Gap, Inc.;Services;Apparel Stores;USA;18160;13.55;5.67;21.77;4.70;12.70;-3.40;-3.10;236.06;2.30;42.60;0.47;38.00;7.60
207;GRMN;Garmin Ltd.;Technology;Scientific & Technical Instruments;Switzerland;5290;28.40;2.52;107.28;-39.70;-11.70;-42.60;0.40;138.87;4.50;9.20;0.00;56.30;10.90
208;GS;The Goldman Sachs Group, Inc.;Financial;Investment Brokerage - National;USA;94910;11.21;1.27;89.96;10.40;-5.10;47.80;8.30;424.63;0.90;12.00;5.10;79.00;21.70
209;GT;The Goodyear Tire & Rubber Company;Consumer Goods;Rubber & Plastics;USA;4380;3.16;2.22;12.79;287.20;50.30;456.50;-10.00;268.96;0.40;98.40;1.64;24.00;15.40
210;GWW;W.W. Grainger, Inc.;Services;Industrial Equipment Wholesale;USA;03160;20.88;5.14;70.55;2.90;15.30;0.00;2.30;58.69;1.70;30.60;0.20;43.20;10.00
211;HAL;Halliburton Company;Basic Materials;Oil & Gas Equipment & Services;USA;01370;17.06;2.37;2177.23;73.00;25.80;-202.70;-4.10;848.63;0.20;14.40;0.50;15.10;6.90
212;HAR;Harman International Industries, Incorporated;Consumer Goods;Electronic Equipment;USA;8480;27.93;4.02;28.61;64.70;19.80;-5.70;4.30;70.75;0.40;16.10;0.28;29.00;5.30
213;HAS;Hasbro Inc.;Consumer Goods;Toys & Games;USA;7690;24.51;6.77;52.09;47.50;5.20;-12.50;5.00;111.86;0.70;28.00;1.24;59.60;9.50
214;HBAN;Huntington Bancshares Incorporated;Financial;Regional - Midwest Banks;USA;2490;15.45;1.52;19.31;0.00;16.20;11.80;6.30;800.67;1.00;10.40;0.85;-;30.80
215;HCA;HCA Holdings, Inc.;Healthcare;Hospitals;USA;59370;19.02;-;13.45;23.40;11.30;78.90;9.60;327.38;20.70;-27.40;-;83.10;5.60
216;HCBK;Hudson City Bancorp, Inc.;Financial;Savings & Loans;USA;3450;42.04;1.06;344.71;-13.50;-21.40;-88.90;-19.70;479.59;1.00;2.50;0.00;-;10.90
217;HCN;Health Care REIT, Inc.;Financial;REIT - Healthcare Facilities;USA;13230;56.88;1.64;-;850.00;1.10;135.30;11.50;349.53;0.20;5.20;0.81;-;18.60
218;HCP;HCP, Inc.;Financial;REIT - Healthcare Facilities;USA;78160;39.93;1.63;-;-1.00;51.90;-204.00;15.20;460.70;0.30;6.40;0.97;81.20;28.90
219;HD;The Home Depot, Inc.;Services;Home Improvement Stores;USA;801450;22.77;15.83;29.47;25.30;24.90;21.00;6.10;3010;0.10;65.30;1.83;34.70;7.80
220;HES;Hess Corporation;Basic Materials;Independent Oil & Gas;USA;55190;21.73;0.89;-;-53.20;18.50;-230.40;-40.20;251.39;0.80;12.40;0.28;79.20;29.90
221;HIG;The Hartford Financial Services Group, Inc.;Financial;Property & Casualty Insurance;USA;57170;13.76;0.93;11.37;18.10;24.60;11.30;-0.10;419.15;0.10;4.00;0.31;-;4.10
222;HOG;Harley-Davidson, Inc.;Consumer Goods;Recreational Vehicles;USA;95110;14.61;4.12;18.97;18.30;66.90;5.00;-3.10;207.11;0.20;27.20;2.02;40.90;13.70
223;HON;Honeywell International Inc.;Industrial Goods;Diversified Machinery;USA;80800;18.93;4.62;37.97;8.30;22.00;10.20;-4.80;780.33;0.10;23.80;0.55;28.80;10.90
224;HOT;Starwood Hotels & Resorts Worldwide Inc.;Services;Lodging;USA;05140;24.47;10.43;-;18.10;222.30;-18.30;-2.90;170.17;0.50;29.20;2.06;71.80;10.00
225;HP;Helmerich & Payne, Inc.;Basic Materials;Oil & Gas Drilling & Exploration;USA;6270;10.88;1.52;-;-3.00;12.70;-56.80;-50.50;104.60;0.10;14.40;0.11;46.40;18.30
226;HPQ;Hewlett-Packard Company;Technology;Diversified Computer Systems;USA;38560;12.48;2.11;15.61;0.00;-3.60;-16.70;-6.80;8010;0.10;17.30;0.79;24.00;4.30
227;HRB;H&R Block, Inc.;Services;Personal Services;USA;4180;18.18;4.59;29.67;-3.30;5.20;-21.30;-10.20;274.52;0.10;33.70;0.28;66.20;15.40
228;HRL;Hormel Foods Corporation;Consumer Goods;Meat Products;USA;32150;23.66;3.98;27.55;14.40;11.90;28.80;1.50;134.44;0.30;17.90;0.07;17.80;7.00
229;HRS;Harris Corporation;Technology;Communication Equipment;USA;6990;15.74;4.42;22.80;20.20;16.50;-5.50;-6.40;123.34;0.10;28.50;0.87;33.90;10.60
230;HSP;Hospira Inc.;Healthcare;Drugs - Generic;USA;32150;44.79;4.42;166.93;15.40;-4.60;7.50;11.80;171.68;0.80;10.20;0.51;39.00;7.40
231;HST;Host Hotels & Resorts, Inc.;Financial;REIT - Hotel/Motel;USA;38150;24.17;2.11;279.65;255.60;37.00;-45.80;0.60;744.68;0.30;8.90;0.54;95.70;12.10
232;HSY;The Hershey Company;Consumer Goods;Confectioners;USA;92130;21.69;15.31;159.45;4.40;14.70;26.10;3.50;-;8.50;57.80;1.94;44.90;11.20
233;HUM;Humana Inc.;Healthcare;Health Care Plans;USA;56290;25.27;2.96;87.72;-4.80;3.70;20.00;18.10;149.11;0.20;12.10;0.41;-;2.40
234;IBM;International Business Machines Corporation;Technology;Information Technology Services;USA;541630;10.54;13.51;19.02;2.00;9.30;0.00;-11.90;984.17;0.10;103.20;3.20;50.20;15.90
235;ICE;Intercontinental Exchange, Inc.;Financial;Diversified Investments;USA;35250;25.05;2.07;28.23;119.00;14.60;31.30;6.60;109.53;0.40;8.20;0.34;-;32.90
236;IFF;International Flavors & Fragrances Inc.;Basic Materials;Specialty Chemicals;USA;1190;21.13;5.80;36.94;17.90;15.50;20.80;0.60;79.60;0.40;34.10;0.60;44.20;17.40
237;INTC;Intel Corporation;Technology;Semiconductor - Broad Line;USA;761510;13.61;2.76;20.59;22.20;24.60;7.90;0.10;7440;0.07;20.80;0.24;63.90;21.10
238;INTU;Intuit Inc.;Technology;Application Software;USA;56280;87.80;12.36;25.55;8.80;17.00;-46.60;-8.10;261.98;0.20;12.10;0.21;82.20;7.30
239;IP;International Paper Company;Consumer Goods;Packaging & Containers;USA;36200;21.31;4.22;16.97;-65.30;-3.20;470.00;-3.60;418.03;0.70;14.30;1.88;31.30;3.70
240;IPG;The Interpublic Group of Companies, Inc.;Services;Advertising Agencies;USA;1780;16.91;4.26;28.39;83.60;42.60;100.00;2.40;410.59;0.60;23.90;0.92;-;6.60
241;IR;Ingersoll-Rand Plc;Industrial Goods;Diversified Machinery;Ireland;05180;20.98;3.16;39.35;57.20;17.20;-18.50;6.10;263.85;0.50;16.10;0.79;30.20;7.50
242;IRM;Iron Mountain Incorporated;Technology;Business Software & Services;USA;6260;19.18;8.91;-;237.00;8.30;-13.60;-2.70;200.69;1.30;43.90;6.36;57.10;11.90
243;ISRG;Intuitive Surgical, Inc.;Healthcare;Medical Appliances & Equipment;USA;24180;39.18;5.07;35.19;-33.60;13.40;127.40;14.50;36.45;0.90;14.70;0.00;65.30;21.40
244;ITW;Illinois Tool Works Inc.;Industrial Goods;Diversified Machinery;USA;16340;19.04;7.03;52.40;28.70;19.30;19.80;-6.40;348.84;0.20;41.80;1.52;40.50;20.60
245;IVZ;Invesco Ltd.;Financial;Asset Management;USA;60160;15.80;2.06;20.90;16.90;24.60;39.50;1.70;425.06;0.80;12.70;0.20;68.60;20.50
246;JCI;Johnson Controls Inc.;Consumer Goods;Auto Parts;USA;44330;22.90;3.16;86.40;35.90;41.70;11.50;-2.80;653.44;0.10;13.70;0.56;16.50;3.70
247;JEC;Jacobs Engineering Group Inc.;Services;Technical Services;USA;3450;16.60;1.23;10.55;-23.20;-5.00;1.60;-8.60;122.69;1.60;7.50;0.17;16.90;2.70
